Search,Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
0,0,0,1042,10.871,10.871,9.532,9.532,4.7744,4.7744,0.000,0.000,2.083,2.083,0.0100,0.0505242,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,0,200,1042,0.701,0.472,0.000,0.048,3.2911,3.9316,27.083,14.345,56.250,33.986,0.0100,0.0019880,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,0,400,1042,0.688,0.450,0.000,0.024,2.1202,3.1619,56.250,28.850,75.000,54.058,0.0100,0.0046639,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,0,600,1042,0.703,0.444,0.000,0.016,1.8940,2.7285,41.667,37.105,79.167,62.885,0.0100,0.0047438,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,0,800,1042,0.702,0.441,0.000,0.012,1.6317,2.4570,58.333,42.306,89.583,68.113,0.0100,0.0047894,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,0,1000,1042,0.719,0.440,0.016,0.010,1.7774,2.2738,54.167,45.721,83.333,71.528,0.0100,0.0049512,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,1,0,1042,0.725,0.725,0.244,0.244,1.8293,1.8293,52.083,52.083,81.250,81.250,0.0100,0.0050097,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,1,200,1042,0.735,0.437,0.000,0.002,1.8348,1.4160,50.000,62.624,75.000,86.329,0.0100,0.0051658,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,1,400,1042,0.994,0.500,0.000,0.001,0.9829,1.4026,72.917,62.687,93.750,86.664,0.0100,0.0054306,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,1,600,1042,1.012,0.533,0.000,0.001,1.5350,1.3949,62.500,62.892,79.167,86.713,0.0100,0.0056175,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,1,800,1042,0.700,0.551,0.000,0.001,1.1722,1.3846,70.833,63.044,83.333,86.832,0.0100,0.0056504,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,1,1000,1042,0.705,0.529,0.000,0.001,1.3070,1.3805,66.667,63.085,89.583,86.878,0.0100,0.0058294,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,2,0,1042,0.672,0.672,0.203,0.203,1.5126,1.5126,58.333,58.333,85.417,85.417,0.0100,0.0058451,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,2,200,1042,0.723,0.441,0.000,0.002,1.2931,1.3099,66.667,64.811,85.417,87.593,0.0100,0.0061055,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,2,400,1042,0.703,0.440,0.000,0.001,1.1980,1.3061,68.750,64.817,93.750,87.874,0.0100,0.0062760,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,2,600,1042,0.703,0.439,0.000,0.001,1.4335,1.3076,62.500,64.677,83.333,87.833,0.0100,0.0064262,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,2,800,1042,0.713,0.440,0.000,0.001,1.5425,1.3151,60.417,64.524,83.333,87.744,0.0100,0.0065234,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,2,1000,1042,0.718,0.441,0.000,0.001,1.5669,1.3256,54.167,64.346,91.667,87.569,0.0100,0.0068290,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,3,0,1042,0.606,0.606,0.157,0.157,1.0416,1.0416,64.583,64.583,89.583,89.583,0.0100,0.0068494,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
