Epoch,iteration,Linear0_384-100,Linear1_1536-100,Linear2_384-100,Linear3_1536-100,Linear4_384-100,Linear5_1536-100,Linear6_384-100,Linear7_1536-100,Linear8_384-100,Linear9_1536-100,Linear10_384-100,Linear11_1536-100,Linear12_384-100,Linear13_1536-100,Linear14_384-100,Linear15_1536-100,Linear16_384-100,Linear17_1536-100,Linear18_384-100,Linear19_1536-100,Linear20_384-100,Linear21_1536-100,Linear22_384-100,Linear23_1536-100
0,0,0.2659471035003662,0.2743767499923706,0.2799597978591919,0.2800038456916809,0.2846001386642456,0.2776997685432434,0.2890370488166809,0.2792884111404419,0.2889285683631897,0.2781982421875,0.2897694706916809,0.2800886034965515,0.2900950312614441,0.2827826738357544,0.2911936640739441,0.2761874794960022,0.2888827919960022,0.2726711630821228,0.2894676923751831,0.2855224609375,0.2915581464767456,0.2810041308403015,0.2926957607269287,0.2710825800895691
0,200,0.2718539834022522,0.2843882441520691,0.2864871621131897,0.2903798222541809,0.2911359667778015,0.2882876992225647,0.2956966757774353,0.2898339033126831,0.2957882285118103,0.2887064814567566,0.2963883876800537,0.2907816767692566,0.2967308759689331,0.2935435175895691,0.2979634404182434,0.2867092490196228,0.295637309551239,0.28289794921875,0.2962833046913147,0.2961001992225647,0.2984246015548706,0.2915734052658081,0.2995011806488037,0.2815467119216919
0,400,0.2771826982498169,0.2937690019607544,0.2925177812576294,0.3002709150314331,0.2971547245979309,0.2981974482536316,0.3019391894340515,0.2998063564300537,0.3018578290939331,0.2984721064567566,0.3025020956993103,0.3006303310394287,0.30291748046875,0.3034328818321228,0.3042839765548706,0.2961612343788147,0.3018425703048706,0.2922007441520691,0.3026157021522522,0.3065524697303772,0.3048011064529419,0.3014255166053772,0.3060675859451294,0.2910851240158081
0,600,0.2822960615158081,0.3030598759651184,0.2980262041091919,0.3088752031326294,0.3024936318397522,0.3072170615196228,0.3076748251914978,0.3088056445121765,0.3073069453239441,0.3071746826171875,0.3081325888633728,0.3097347617149353,0.3086666464805603,0.3126881718635559,0.3098822832107544,0.305006206035614,0.3076171875,0.3006710410118103,0.3082987666130066,0.3158908486366272,0.3104587197303772,0.3106486201286316,0.3119083046913147,0.2995384931564331
0,800,0.2877875566482544,0.3122982382774353,0.3033921718597412,0.3183627724647522,0.3082478642463684,0.3171352744102478,0.3134070634841919,0.3187679648399353,0.3133748173713684,0.3169724941253662,0.3140224814414978,0.3198174238204956,0.3145599365234375,0.3228352665901184,0.3156720995903015,0.3143988847732544,0.3134307861328125,0.3098534345626831,0.3143598437309265,0.3260684609413147,0.3164079189300537,0.3204735517501831,0.3180304765701294,0.3088582158088684
0,1000,0.2933688759803772,0.3213908076286316,0.3093414306640625,0.3289726972579956,0.3140428066253662,0.3272959589958191,0.3195309042930603,0.3287472128868103,0.3194749355316162,0.3272501826286316,0.3205634355545044,0.3301866054534912,0.3209821581840515,0.3323686122894287,0.3218299150466919,0.3248189091682434,0.3196682333946228,0.3200055956840515,0.3205786943435669,0.3358628749847412,0.3225453495979309,0.33013916015625,0.3243374228477478,0.3192325234413147
1,0,0.2946929931640625,0.3235846757888794,0.3106706142425537,0.3314208984375,0.3154398798942566,0.3293389081954956,0.3209652304649353,0.3308529257774353,0.3209126591682434,0.3293253779411316,0.3219502568244934,0.3324500322341919,0.3224063515663147,0.3346439003944397,0.3233116865158081,0.3269314169883728,0.3210110068321228,0.3222740888595581,0.3220469355583191,0.3382229208946228,0.323974609375,0.332258403301239,0.3256598711013794,0.321685791015625
1,200,0.3007049560546875,0.3338690996170044,0.3166062831878662,0.3412373661994934,0.3217010498046875,0.3396267294883728,0.3274857997894287,0.341156005859375,0.3273908495903015,0.3397132158279419,0.3282572627067566,0.3427903652191162,0.3286166787147522,0.3451215624809265,0.3299153447151184,0.3365359902381897,0.3275943398475647,0.3317786455154419,0.3286251425743103,0.34906005859375,0.330000102519989,0.3425886034965515,0.3316158652305603,0.3313971757888794
1,400,0.3058980107307434,0.3439347743988037,0.3228980302810669,0.3515879511833191,0.3283352255821228,0.3508775234222412,0.333326518535614,0.3524135947227478,0.3334723711013794,0.3508317470550537,0.3343234658241272,0.3541446328163147,0.3347133994102478,0.3562537431716919,0.3362240195274353,0.3474765419960022,0.3340962529182434,0.3421376347541809,0.3346218466758728,0.3599632978439331,0.3362172245979309,0.3536021113395691,0.3379482626914978,0.3420918583869934
1,600,0.311445415019989,0.3542717695236206,0.3293423056602478,0.3628590703010559,0.3345540165901184,0.361907958984375,0.3398301601409912,0.363477885723114,0.3397929072380066,0.3617011308670044,0.340545654296875,0.3649885058403015,0.3411034345626831,0.3670060634613037,0.3426496386528015,0.3585289716720581,0.3404727578163147,0.3531510829925537,0.3410441279411316,0.3711920976638794,0.3427344560623169,0.3644951581954956,0.3444501757621765,0.3535529375076294
