Search,Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
0,0,0,2778,1.160,1.160,0.049,0.049,4.6052,4.6052,0.000,0.000,5.556,5.556,0.0100,0.0265922,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,0,200,2778,1.005,0.606,0.032,0.031,4.2905,4.4590,11.111,3.759,22.222,13.488,0.0100,0.0002263,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,0,400,2778,1.005,0.610,0.016,0.030,3.7747,4.3226,16.667,4.960,38.889,17.290,0.0100,0.0004426,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,0,600,2778,1.021,0.613,0.031,0.030,4.3042,4.2320,5.556,6.304,11.111,20.346,0.0100,0.0006851,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,0,800,2778,1.021,0.615,0.031,0.029,3.9113,4.1627,11.111,7.269,38.889,22.430,0.0100,0.0009486,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,0,1000,2778,1.008,0.617,0.028,0.030,3.8993,4.0984,16.667,8.081,27.778,24.315,0.0100,0.0012289,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,0,1200,2778,1.019,0.618,0.047,0.031,3.8834,4.0473,16.667,8.757,44.444,26.057,0.0100,0.0015232,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
