Epoch,iteration,Linear0_768-100,Linear1_3072-100,Linear2_768-100,Linear3_3072-100,Linear4_768-100,Linear5_3072-100,Linear6_768-100,Linear7_3072-100,Linear8_768-100,Linear9_3072-100,Linear10_768-100,Linear11_3072-100,Linear12_768-100,Linear13_3072-100,Linear14_768-100,Linear15_3072-100,Linear16_768-100,Linear17_3072-100,Linear18_768-100,Linear19_3072-100,Linear20_768-100,Linear21_3072-100,Linear22_768-100,Linear23_3072-100
0,0,0.2588335871696472,0.25652188062667847,0.2585987448692322,0.25531214475631714,0.2587025761604309,0.25446999073028564,0.2565358281135559,0.25526851415634155,0.25527530908584595,0.2549993395805359,0.25438392162323,0.25485438108444214,0.2549811601638794,0.2548840641975403,0.2548145651817322,0.2547352910041809,0.25452762842178345,0.2551273703575134,0.25475990772247314,0.25500571727752686,0.25483405590057373,0.25462549924850464,0.2551731467247009,0.2550286054611206
0,200,0.26630187034606934,0.26911461353302,0.2664620876312256,0.26791805028915405,0.2663472294807434,0.26768070459365845,0.2642059326171875,0.26792824268341064,0.2629856467247009,0.2677074074745178,0.26222866773605347,0.26758700609207153,0.2627800703048706,0.267536997795105,0.2626206874847412,0.26734286546707153,0.2623642683029175,0.26769083738327026,0.26264357566833496,0.2676069140434265,0.2627389430999756,0.267378032207489,0.26299160718917847,0.26775234937667847
0,400,0.271240234375,0.2783452868461609,0.2716229557991028,0.2772318720817566,0.27133941650390625,0.27736830711364746,0.2692515254020691,0.2771602272987366,0.2679985761642456,0.27687621116638184,0.26729923486709595,0.27686476707458496,0.2677752375602722,0.2767554521560669,0.267744243144989,0.2766486406326294,0.26745307445526123,0.2768058776855469,0.2676883339881897,0.27673637866973877,0.26784175634384155,0.2766430974006653,0.2680431008338928,0.27691012620925903
1,0,0.27557456493377686,0.2871657609939575,0.27613234519958496,0.2859755754470825,0.27578991651535034,0.28658801317214966,0.2737744450569153,0.28598320484161377,0.27248889207839966,0.2856457829475403,0.2718450427055359,0.28555381298065186,0.27234476804733276,0.2855415344238281,0.2722727656364441,0.2853732705116272,0.27199554443359375,0.28550082445144653,0.2721850275993347,0.28539276123046875,0.27236682176589966,0.2854423522949219,0.2725808620452881,0.2855881452560425
1,200,0.28172558546066284,0.2998725175857544,0.2824694514274597,0.2990586757659912,0.28203457593917847,0.3002861738204956,0.28003817796707153,0.2991032004356384,0.2788357138633728,0.2985877990722656,0.2782626748085022,0.2984962463378906,0.2786064147949219,0.29846829175949097,0.2786271572113037,0.2981029152870178,0.2784321904182434,0.29804527759552,0.2785623073577881,0.2982330322265625,0.2787136435508728,0.29820889234542847,0.27897220849990845,0.29819995164871216
1,400,0.28858524560928345,0.31450438499450684,0.2895304560661316,0.3139885663986206,0.2890086770057678,0.31604552268981934,0.28707802295684814,0.31423652172088623,0.28596919775009155,0.3138037919998169,0.28554534912109375,0.31362491846084595,0.28584545850753784,0.31343626976013184,0.2858700156211853,0.3130882978439331,0.28566402196884155,0.3126818537712097,0.2858039140701294,0.3131760358810425,0.2860103249549866,0.3130497336387634,0.286115825176239,0.31276530027389526
2,0,0.29427504539489746,0.32710009813308716,0.29562675952911377,0.32696533203125,0.2948349714279175,0.3296352028846741,0.29309505224227905,0.32707762718200684,0.29210108518600464,0.3269030451774597,0.2917768359184265,0.3266546130180359,0.2919604182243347,0.3262375593185425,0.2920002341270447,0.32602858543395996,0.2917124629020691,0.3253737688064575,0.29192227125167847,0.325907826423645,0.2921138405799866,0.32594937086105347,0.29220324754714966,0.32538264989852905
2,200,0.30229270458221436,0.3448482155799866,0.3041335344314575,0.34532463550567627,0.30310696363449097,0.3485463261604309,0.30148398876190186,0.3453441262245178,0.30067360401153564,0.3450877070426941,0.3005663752555847,0.3449532985687256,0.3006435036659241,0.3444591164588928,0.3006435036659241,0.34407126903533936,0.3004031777381897,0.34336596727371216,0.30065494775772095,0.34390556812286377,0.3007333278656006,0.34417724609375,0.3006778359413147,0.343580424785614
2,400,0.31110507249832153,0.3639759421348572,0.31339138746261597,0.36488425731658936,0.31209349632263184,0.36900919675827026,0.3106689453125,0.36511820554733276,0.3100437521934509,0.36473000049591064,0.31004881858825684,0.36462658643722534,0.30999672412872314,0.3643035888671875,0.3101416826248169,0.3638966679573059,0.30979496240615845,0.3629722595214844,0.30993396043777466,0.3636266589164734,0.31014251708984375,0.3640861511230469,0.30998867750167847,0.3630845546722412
3,0,0.3183780312538147,0.37196558713912964,0.32108432054519653,0.3731091618537903,0.31979072093963623,0.378187358379364,0.31829071044921875,0.37341898679733276,0.31779563426971436,0.3730078935623169,0.31800204515457153,0.37294936180114746,0.31777316331863403,0.37277430295944214,0.31804102659225464,0.37218815088272095,0.31762951612472534,0.3711314797401428,0.31777870655059814,0.37178677320480347,0.3180046081542969,0.37247973680496216,0.3178660273551941,0.3792572021484375
