Search,Epoch,iteration,test_loader_data,batch_time,batch_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG)
0,0,199,200,0.233,0.244,0.2479,0.2366,94.000,92.040,100.000,99.830
0,1,199,200,0.260,0.248,0.1555,0.1901,94.000,93.840,100.000,99.900
0,2,199,200,0.270,0.256,0.3704,0.1672,86.000,94.380,100.000,99.890
0,3,199,200,0.243,0.260,0.3190,0.2205,90.000,92.410,100.000,99.850
0,4,199,200,0.251,0.252,0.2461,0.1859,94.000,93.610,100.000,99.860
0,5,199,200,0.263,0.261,0.1713,0.1579,96.000,94.690,98.000,99.910
0,6,199,200,0.273,0.263,0.1242,0.2178,94.000,92.900,100.000,99.880
0,7,199,200,0.279,0.261,0.1663,0.2085,92.000,92.900,100.000,99.900
0,8,199,200,0.238,0.259,0.1213,0.2177,98.000,92.780,100.000,99.860
0,9,199,200,0.256,0.269,0.1638,0.2231,92.000,92.600,100.000,99.820
0,10,199,200,0.257,0.273,0.2369,0.2391,88.000,92.200,100.000,99.800
0,11,199,200,0.265,0.275,0.2310,0.3011,92.000,89.760,100.000,99.880
0,12,199,200,0.291,0.262,0.0885,0.2497,98.000,91.420,100.000,99.770
0,13,199,200,0.251,0.268,0.1458,0.2129,94.000,92.300,100.000,99.850
0,14,199,200,0.257,0.256,0.2256,0.2069,92.000,92.870,100.000,99.870
0,15,199,200,0.244,0.259,0.2215,0.2401,94.000,91.890,100.000,99.840
0,16,199,200,0.244,0.249,0.3480,0.2370,88.000,91.980,98.000,99.780
0,17,199,200,0.238,0.248,0.3364,0.2326,86.000,92.330,100.000,99.770
0,18,199,200,0.252,0.250,0.1972,0.2127,96.000,92.940,100.000,99.850
0,19,199,200,0.249,0.248,0.1385,0.2479,94.000,91.950,100.000,99.820
0,20,199,200,0.234,0.246,0.3782,0.2700,92.000,91.600,100.000,99.730
0,21,199,200,0.262,0.271,0.2160,0.2205,94.000,92.570,100.000,99.880
0,22,199,200,0.244,0.251,0.1599,0.1873,92.000,93.690,100.000,99.920
0,23,199,200,0.239,0.247,0.2749,0.2249,92.000,92.770,100.000,99.770
0,24,199,200,0.242,0.256,0.0232,0.2235,100.000,92.220,100.000,99.820
0,25,199,200,0.245,0.254,0.1575,0.2185,92.000,92.820,100.000,99.880
0,26,199,200,0.260,0.273,0.3425,0.2166,90.000,92.540,100.000,99.880
0,27,199,200,0.245,0.254,0.2869,0.1930,90.000,93.400,100.000,99.900
0,28,199,200,0.282,0.266,0.1413,0.2223,92.000,92.490,100.000,99.880
0,29,199,200,0.252,0.251,0.1006,0.2047,96.000,93.110,100.000,99.840
0,30,199,200,0.254,0.253,0.0975,0.1848,96.000,93.730,100.000,99.890
0,31,199,200,0.276,0.252,0.0797,0.2190,96.000,92.610,100.000,99.890
0,32,199,200,0.271,0.250,0.1954,0.1990,92.000,93.550,100.000,99.880
0,33,199,200,0.250,0.251,0.1845,0.2058,94.000,93.160,100.000,99.810
0,34,199,200,0.250,0.251,0.2105,0.1903,92.000,93.580,100.000,99.890
0,35,199,200,0.245,0.250,0.3380,0.1919,84.000,93.750,100.000,99.870
0,36,199,200,0.251,0.252,0.3040,0.1935,88.000,93.530,100.000,99.890
