Epoch,iteration,SparseConv0_3-64-(7  7),SparseConv1_64-64-(3  3),SparseConv2_64-64-(3  3),SparseConv3_64-64-(3  3),SparseConv4_64-64-(3  3),SparseConv5_64-128-(3  3),SparseConv6_128-128-(3  3),SparseConv7_64-128-(1  1),SparseConv8_128-128-(3  3),SparseConv9_128-128-(3  3),SparseConv10_128-256-(3  3),SparseConv11_256-256-(3  3),SparseConv12_128-256-(1  1),SparseConv13_256-256-(3  3),SparseConv14_256-256-(3  3),SparseConv15_256-512-(3  3),SparseConv16_512-512-(3  3),SparseConv17_256-512-(1  1),SparseConv18_512-512-(3  3),SparseConv19_512-512-(3  3),Linear0_512-10
0,0,0.25999152660369873,0.2822265625,0.2567002773284912,0.2576768398284912,0.2564018964767456,0.2569172978401184,0.254102885723114,0.2568359375,0.2550048828125,0.2558457851409912,0.2563205361366272,0.2557440996170044,0.255828857421875,0.2551082968711853,0.2549523115158081,0.2549472451210022,0.25472134351730347,0.2562103271484375,0.2548183798789978,0.25468653440475464,0.2486327886581421
0,200,0.26679420471191406,0.2867295742034912,0.2628580927848816,0.2644856572151184,0.2631564736366272,0.2602131962776184,0.2606540322303772,0.25732421875,0.2614406943321228,0.2611151933670044,0.259412944316864,0.2648773193359375,0.256317138671875,0.2642432451248169,0.2637447714805603,0.2625003457069397,0.26761794090270996,0.25646209716796875,0.2676836848258972,0.2676887512207031,0.2886718511581421
0,400,0.2774235010147095,0.2922092080116272,0.269287109375,0.272352397441864,0.2700737714767456,0.2644450068473816,0.266126811504364,0.26025390625,0.2673407793045044,0.26611328125,0.2620205283164978,0.2714793086051941,0.257049560546875,0.2713046669960022,0.2706943154335022,0.2680409550666809,0.27746665477752686,0.25704193115234375,0.27741581201553345,0.27745312452316284,0.30546873807907104
0,600,0.2821003794670105,0.2971462607383728,0.2754177451133728,0.2783203125,0.276611328125,0.2688801884651184,0.2719929814338684,0.261474609375,0.2734782099723816,0.2718437910079956,0.26470947265625,0.2791154384613037,0.25787353515625,0.2794833779335022,0.2783305048942566,0.27431994676589966,0.2890722155570984,0.257720947265625,0.2888997197151184,0.28900355100631714,0.31660157442092896
1,0,0.28316330909729004,0.2978244423866272,0.2758517861366272,0.2793782353401184,0.277099609375,0.2692735195159912,0.27264404296875,0.2615966796875,0.2743937373161316,0.2723931074142456,0.2650417685508728,0.2801445722579956,0.25787353515625,0.2803802490234375,0.2793765664100647,0.275190532207489,0.29057520627975464,0.25783538818359375,0.29044467210769653,0.29055190086364746,0.31679683923721313
1,200,0.2879464626312256,0.3023274540901184,0.2822536826133728,0.285888671875,0.283447265625,0.2734917402267456,0.2789984941482544,0.263671875,0.281005859375,0.2783474326133728,0.2680460810661316,0.2887284755706787,0.258758544921875,0.2893083095550537,0.2880723476409912,0.2820926308631897,0.30419033765792847,0.2584075927734375,0.3038703203201294,0.3038402199745178,0.3218749761581421
1,400,0.29421770572662354,0.306396484375,0.2888725996017456,0.29345703125,0.2911784052848816,0.2772216796875,0.2855902910232544,0.266357421875,0.287550151348114,0.2843424677848816,0.2712470293045044,0.298309326171875,0.2596435546875,0.2994164228439331,0.2980889081954956,0.2897626757621765,0.3193952441215515,0.258880615234375,0.3190616965293884,0.31899386644363403,0.32753902673721313
1,600,0.30240219831466675,0.3113335371017456,0.2958713173866272,0.299207866191864,0.2977973222732544,0.2806938886642456,0.2918972373008728,0.2686767578125,0.2940945029258728,0.291212260723114,0.2744004726409912,0.3087140917778015,0.260711669921875,0.3100806474685669,0.3087395429611206,0.29823893308639526,0.3364117741584778,0.25971221923828125,0.33590781688690186,0.33567047119140625,0.3310546875
2,0,0.30250853300094604,0.3119845986366272,0.2970649003982544,0.2993435263633728,0.2985568642616272,0.2810872197151184,0.2926974892616272,0.2681884765625,0.2952541708946228,0.2921684980392456,0.2745869755744934,0.3100687861442566,0.26080322265625,0.3112843632698059,0.3100857138633728,0.29931640625,0.338697612285614,0.25984954833984375,0.33813774585723877,0.33778804540634155,0.33046871423721313
2,200,0.30846089124679565,0.3163520097732544,0.3037380576133728,0.3059353232383728,0.3049858808517456,0.2847764492034912,0.2991943359375,0.2686767578125,0.302259624004364,0.298658549785614,0.2777879238128662,0.3210296630859375,0.262054443359375,0.322509765625,0.3212296962738037,0.30839282274246216,0.3571675419807434,0.26055145263671875,0.356587290763855,0.3559040427207947,0.33476561307907104
2,400,0.3176020383834839,0.3198784589767456,0.3115234375,0.3133137822151184,0.3124728798866272,0.2878825068473816,0.3061862587928772,0.26904296875,0.3091633915901184,0.3063896894454956,0.2810940146446228,0.3330315351486206,0.262725830078125,0.3343658447265625,0.3332366943359375,0.3178778886795044,0.3765102028846741,0.26097869873046875,0.3760948181152344,0.37496691942214966,0.33476561307907104
2,600,0.32408589124679565,0.3248698115348816,0.3183051347732544,0.3203396201133728,0.3201225996017456,0.2910427451133728,0.3142768144607544,0.2711181640625,0.3163859248161316,0.314208984375,0.2845967411994934,0.3456708788871765,0.263458251953125,0.3467983603477478,0.3460540771484375,0.3282131552696228,0.3894912004470825,0.2618255615234375,0.3888532519340515,0.38706547021865845,0.34003907442092896
3,0,0.32568031549453735,0.3257920742034912,0.3201225996017456,0.3218044638633728,0.3206108808517456,0.2919785976409912,0.3153144121170044,0.2713623046875,0.3177558183670044,0.3155178427696228,0.285017192363739,0.3471866250038147,0.2633056640625,0.3483734130859375,0.347456157207489,0.32956188917160034,0.3911747336387634,0.2617950439453125,0.3905380964279175,0.38877952098846436,0.33964842557907104
3,200,0.3342899680137634,0.3315158486366272,0.3270941972732544,0.329345703125,0.3280436396598816,0.295423686504364,0.3235812783241272,0.27294921875,0.3252631425857544,0.3233981728553772,0.2879909873008728,0.3603244423866272,0.264434814453125,0.3612908124923706,0.3607567548751831,0.3402370810508728,0.40614742040634155,0.26236724853515625,0.4053323268890381,0.40298038721084595,0.337890625
3,400,0.34258079528808594,0.3356119990348816,0.3353135585784912,0.336181640625,0.3363715410232544,0.2995469570159912,0.3320854902267456,0.2747802734375,0.33306884765625,0.3318345546722412,0.291425883769989,0.3735673427581787,0.2642822265625,0.3742913007736206,0.3743896484375,0.35169386863708496,0.4224925637245178,0.2630767822265625,0.4217211604118347,0.41883385181427,0.34023433923721313
3,600,0.3534226417541504,0.3399251103401184,0.3429362177848816,0.3444010615348816,0.345703125,0.3026801347732544,0.34063720703125,0.277099609375,0.3410983681678772,0.3398911952972412,0.2949557900428772,0.3825242519378662,0.264923095703125,0.383636474609375,0.3835499882698059,0.3634762167930603,0.4402088522911072,0.26323699951171875,0.4392704367637634,0.4359317421913147,0.34257811307907104
4,0,0.3550170063972473,0.3399251103401184,0.3434516191482544,0.344970703125,0.3470323085784912,0.3034396767616272,0.3420071005821228,0.2763671875,0.3419731855392456,0.3409355878829956,0.2954915165901184,0.3838297724723816,0.26513671875,0.3847774863243103,0.3845638632774353,0.3649224042892456,0.4424625039100647,0.26332855224609375,0.44155246019363403,0.4382133483886719,0.3433593511581421
4,200,0.36341410875320435,0.3455403447151184,0.3515625,0.3526204228401184,0.3557400107383728,0.3067084550857544,0.3507283329963684,0.2774658203125,0.3504367470741272,0.349439799785614,0.2994757890701294,0.3936988115310669,0.265838623046875,0.3945261836051941,0.3943345546722412,0.37664711475372314,0.46112269163131714,0.26383209228515625,0.46020805835723877,0.4566341042518616,0.3433593511581421
4,400,0.3741496801376343,0.3487955927848816,0.3599175214767456,0.3602702021598816,0.3633354902267456,0.3104519248008728,0.3594089150428772,0.277587890625,0.3587443232536316,0.358473002910614,0.3028225302696228,0.4045512080192566,0.266754150390625,0.4054276943206787,0.4052547812461853,0.3845401406288147,0.48016566038131714,0.2645416259765625,0.47947609424591064,0.47580885887145996,0.34394532442092896
4,600,0.3816964626312256,0.3541666865348816,0.3687608242034912,0.3681369423866272,0.3714463710784912,0.3142632246017456,0.368055522441864,0.2813720703125,0.367445170879364,0.3675740361213684,0.3065727949142456,0.4160427451133728,0.2669677734375,0.4168006181716919,0.4168819785118103,0.3928290605545044,0.4995049238204956,0.2650604248046875,0.49906498193740845,0.49533843994140625,0.34609371423721313
5,0,0.38265305757522583,0.3550618290901184,0.370361328125,0.36962890625,0.3720431923866272,0.3147515058517456,0.3691609501838684,0.281494140625,0.3685641884803772,0.3684963583946228,0.30706787109375,0.4175906777381897,0.26708984375,0.4183010458946228,0.4182315468788147,0.3938767910003662,0.5020052194595337,0.265045166015625,0.5015054941177368,0.49774253368377686,0.3447265625
5,200,0.3900935649871826,0.3606228232383728,0.378553569316864,0.3774956464767456,0.3777397871017456,0.3181559443473816,0.3778279423713684,0.2816162109375,0.3771701455116272,0.377393901348114,0.3110114336013794,0.42950439453125,0.26800537109375,0.430402934551239,0.4305233359336853,0.40297698974609375,0.5217357277870178,0.265594482421875,0.5213165283203125,0.5176078081130981,0.34589844942092896
