Search,Epoch,iteration,test_loader_data,batch_time,batch_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG)
0,0,416,417,0.101,0.182,1.9578,1.6896,25.000,38.100,87.500,88.410
0,1,416,417,0.103,0.156,1.6931,1.5000,25.000,46.440,93.750,92.050
0,2,416,417,0.107,0.155,1.3608,1.3982,56.250,50.710,87.500,93.200
0,3,416,417,0.095,0.154,1.3182,1.3610,56.250,51.440,87.500,93.490
0,4,416,417,0.111,0.155,1.1573,1.2737,50.000,54.880,100.000,94.420
0,5,416,417,0.110,0.154,1.3702,1.2554,68.750,55.720,87.500,94.560
0,6,416,417,0.111,0.152,1.0473,1.2076,68.750,57.290,93.750,95.240
0,7,416,417,0.094,0.152,1.1524,1.2092,62.500,57.400,87.500,94.700
0,8,416,417,0.111,0.152,0.8063,1.1425,75.000,59.810,100.000,95.820
0,9,416,417,0.111,0.152,1.0827,1.0951,50.000,61.350,93.750,95.990
