Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
10,400,417,1.805,3.625,1.368,3.465,1.4379,1.1341,59.167,69.140,85.833,89.638,0.0100,0.0029343,3123.9620 M,4087.3412 M, 25529472.0000 M, 16488032.0000 M
11,0,417,3.179,3.179,2.742,2.742,0.8994,0.8994,70.833,70.833,94.167,94.167,0.0100,0.0030136,3123.9620 M,4087.3412 M, 25529472.0000 M, 16488032.0000 M
11,200,417,3.943,3.597,3.510,3.436,1.0373,1.0756,72.500,70.688,93.333,90.460,0.0100,0.0029970,3123.9620 M,4087.3412 M, 25529472.0000 M, 16488032.0000 M
11,400,417,4.344,3.635,3.899,3.475,1.1162,1.0987,68.333,70.135,90.000,90.177,0.0100,0.0030077,2963.3988 M,4087.3412 M, 25529472.0000 M, 16338112.0000 M
12,0,417,4.212,4.212,3.778,3.778,1.2309,1.2309,64.167,64.167,91.667,91.667,0.0100,0.0031063,2963.3988 M,4087.3412 M, 25529472.0000 M, 16338112.0000 M
12,200,417,4.152,3.724,3.716,3.564,0.9411,1.0677,72.500,71.161,92.500,90.485,0.0100,0.0030902,2963.3988 M,4087.3412 M, 25529472.0000 M, 16338112.0000 M
12,400,417,4.258,3.729,3.821,3.569,1.0030,1.0756,71.667,70.873,89.167,90.345,0.0100,0.0030720,2905.5960 M,4087.3412 M, 25529472.0000 M, 16319648.0000 M
13,0,417,4.522,4.522,4.077,4.077,0.8904,0.8904,77.500,77.500,91.667,91.667,0.0100,0.0030856,2905.5960 M,4087.3412 M, 25529472.0000 M, 16319648.0000 M
13,200,417,3.696,3.613,3.248,3.453,0.8581,1.0523,76.667,71.633,93.333,90.531,0.0100,0.0030800,2905.5960 M,4087.3412 M, 25529472.0000 M, 16319648.0000 M
13,400,417,1.379,3.594,0.938,3.435,1.1200,1.0661,70.000,71.226,87.500,90.447,0.0100,0.0031053,2743.8286 M,4087.3412 M, 25529472.0000 M, 14215200.0000 M
14,0,417,3.297,3.297,2.861,2.861,0.9547,0.9547,72.500,72.500,91.667,91.667,0.0100,0.0031642,2743.8286 M,4087.3412 M, 25529472.0000 M, 14215200.0000 M
14,200,417,0.764,3.591,0.327,3.431,1.0112,1.0181,72.500,72.400,92.500,91.057,0.0100,0.0031512,2718.1385 M,4087.3412 M, 25529472.0000 M, 13689888.0000 M
14,400,417,4.130,3.631,3.703,3.471,1.0908,1.0342,70.833,71.839,87.500,90.769,0.0100,0.0031374,2718.1385 M,4087.3412 M, 25529472.0000 M, 13689888.0000 M
15,0,417,5.344,5.344,4.901,4.901,1.1249,1.1249,67.500,67.500,90.000,90.000,0.0100,0.0031565,2718.1385 M,4087.3412 M, 25529472.0000 M, 13689888.0000 M
15,200,417,4.602,3.694,4.146,3.533,1.0148,1.0223,73.333,72.438,92.500,90.904,0.0100,0.0031462,2409.8571 M,4087.3412 M, 25529472.0000 M, 12359136.0000 M
15,400,417,4.393,3.604,3.957,3.444,0.9109,1.0306,76.667,72.072,90.833,90.852,0.0100,0.0032195,2409.8571 M,4087.3412 M, 25529472.0000 M, 12359136.0000 M
16,0,417,5.359,5.359,4.912,4.912,0.8068,0.8068,75.833,75.833,92.500,92.500,0.0100,0.0032408,2409.8571 M,4087.3412 M, 25529472.0000 M, 12359136.0000 M
16,200,417,4.647,3.616,4.187,3.457,0.8933,1.0197,78.333,72.272,95.000,90.941,0.0100,0.0032212,2384.1670 M,4087.3412 M, 25529472.0000 M, 12227936.0000 M
16,400,417,3.136,3.591,2.705,3.432,0.8992,1.0466,75.000,71.446,91.667,90.642,0.0100,0.0032449,2384.1670 M,4087.3412 M, 25529472.0000 M, 12227936.0000 M
17,0,417,3.963,3.963,3.510,3.510,0.8150,0.8150,76.667,76.667,94.167,94.167,0.0100,0.0032732,2384.1670 M,4087.3412 M, 25529472.0000 M, 12227936.0000 M
17,200,417,4.562,3.756,4.119,3.596,0.9923,1.0339,71.667,71.866,90.833,90.883,0.0100,0.0032565,2384.1670 M,4087.3412 M, 25529472.0000 M, 12227936.0000 M
17,400,417,3.995,3.713,3.558,3.554,1.1296,1.0551,68.333,71.359,90.000,90.696,0.0100,0.0032345,2384.1670 M,4087.3412 M, 25529472.0000 M, 12227936.0000 M
18,0,417,5.447,5.447,5.007,5.007,1.1625,1.1625,69.167,69.167,85.833,85.833,0.0100,0.0032689,2384.1670 M,4087.3412 M, 25529472.0000 M, 12227936.0000 M
18,200,417,5.078,3.855,4.634,3.694,1.0019,1.0386,70.000,71.886,91.667,90.647,0.0100,0.0032532,2230.0263 M,4087.3412 M, 25529472.0000 M, 12030176.0000 M
18,400,417,3.223,3.707,2.791,3.547,1.1446,1.0543,64.167,71.517,92.500,90.459,0.0100,0.0033061,2230.0263 M,4087.3412 M, 25529472.0000 M, 12030176.0000 M
19,0,417,3.233,3.233,2.768,2.768,1.1534,1.1534,70.833,70.833,86.667,86.667,0.0100,0.0033268,2230.0263 M,4087.3412 M, 25529472.0000 M, 12030176.0000 M
19,200,417,3.970,3.595,3.532,3.433,1.2323,1.0387,67.500,71.998,86.667,90.647,0.0100,0.0033046,2230.0263 M,4087.3412 M, 25529472.0000 M, 12030176.0000 M
19,400,417,4.532,3.621,4.104,3.461,1.1655,1.0687,66.667,71.182,88.333,90.301,0.0100,0.0033998,2230.0263 M,4087.3412 M, 25529472.0000 M, 12030176.0000 M
20,0,417,3.915,3.915,3.471,3.471,0.9506,0.9506,78.333,78.333,92.500,92.500,0.0100,0.0034291,2230.0263 M,4087.3412 M, 25529472.0000 M, 12030176.0000 M
20,200,417,4.606,3.597,4.169,3.436,0.9056,1.0804,74.167,70.871,93.333,90.498,0.0100,0.0034154,2143.3222 M,4087.3412 M, 25529472.0000 M, 10260320.0000 M
20,400,417,4.019,3.665,3.565,3.505,1.1705,1.0844,68.333,70.727,89.167,90.445,0.0100,0.0034206,1998.8153 M,4087.3412 M, 25529472.0000 M, 9522720.0000 M
21,0,417,4.170,4.170,3.701,3.701,1.0136,1.0136,71.667,71.667,90.833,90.833,0.0100,0.0034761,1969.9140 M,4087.3412 M, 25529472.0000 M, 9375200.0000 M
21,200,417,3.223,3.529,2.781,3.367,1.1180,1.0557,72.500,71.692,89.167,90.539,0.0100,0.0034647,1944.2238 M,4087.3412 M, 25529472.0000 M, 9342368.0000 M
21,400,417,3.376,3.519,2.940,3.359,0.9567,1.0681,81.667,71.332,92.500,90.424,0.0100,0.0034592,1831.8296 M,4087.3412 M, 25529472.0000 M, 8706880.0000 M
22,0,417,4.242,4.242,3.807,3.807,1.0162,1.0162,70.000,70.000,92.500,92.500,0.0100,0.0034747,1831.8296 M,4087.3412 M, 25529472.0000 M, 8706880.0000 M
22,200,417,4.128,3.676,3.701,3.516,1.2280,1.0276,67.500,72.318,87.500,91.012,0.0100,0.0034549,1831.8296 M,4087.3412 M, 25529472.0000 M, 8706880.0000 M
22,400,417,3.189,3.622,2.758,3.462,1.2523,1.0677,65.000,71.212,88.333,90.478,0.0100,0.0034386,1777.2381 M,4087.3412 M, 25529472.0000 M, 8538784.0000 M
23,0,417,4.237,4.237,3.794,3.794,0.8503,0.8503,79.167,79.167,94.167,94.167,0.0100,0.0034521,1748.3367 M,4087.3412 M, 25529472.0000 M, 8529552.0000 M
23,200,417,4.112,3.791,3.678,3.630,0.9900,1.0439,70.833,71.816,94.167,90.937,0.0100,0.0034392,1722.6466 M,4087.3412 M, 25529472.0000 M, 8398224.0000 M
