Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
10,400,417,3.375,3.623,2.946,3.461,1.0537,1.1645,69.167,68.703,91.667,89.607,0.0100,0.0032925,2910.8143 M,4087.3412 M, 25529472.0000 M, 16335392.0000 M
11,0,417,4.054,4.054,3.624,3.624,1.1983,1.1983,71.667,71.667,86.667,86.667,0.0100,0.0033080,2910.8143 M,4087.3412 M, 25529472.0000 M, 16335392.0000 M
11,200,417,4.628,3.491,4.202,3.329,1.1899,1.1631,65.000,68.694,86.667,89.731,0.0100,0.0032901,2795.2088 M,4087.3412 M, 25529472.0000 M, 16298464.0000 M
11,400,417,3.128,3.490,2.692,3.329,1.2802,1.1761,61.667,68.248,90.833,89.549,0.0100,0.0032751,2795.2088 M,4087.3412 M, 25529472.0000 M, 16298464.0000 M
12,0,417,5.290,5.290,4.858,4.858,1.0040,1.0040,70.000,70.000,91.667,91.667,0.0100,0.0033388,2795.2088 M,4087.3412 M, 25529472.0000 M, 16298464.0000 M
12,200,417,3.545,3.577,3.112,3.415,1.4293,1.1615,65.000,68.885,87.500,89.652,0.0100,0.0033146,2743.8286 M,4087.3412 M, 25529472.0000 M, 16257120.0000 M
12,400,417,4.745,3.555,4.305,3.394,1.3869,1.1755,68.333,68.489,85.833,89.566,0.0100,0.0034539,2204.3362 M,4087.3412 M, 25529472.0000 M, 12144736.0000 M
13,0,417,2.688,2.688,2.238,2.238,1.1711,1.1711,69.167,69.167,90.833,90.833,0.0100,0.0034703,2204.3362 M,4087.3412 M, 25529472.0000 M, 12144736.0000 M
13,200,417,4.169,3.606,3.741,3.444,1.1094,1.1615,65.833,68.731,93.333,89.299,0.0100,0.0034565,2204.3362 M,4087.3412 M, 25529472.0000 M, 12144736.0000 M
13,400,417,3.672,3.597,3.236,3.435,1.1218,1.1787,68.333,68.333,89.167,89.115,0.0100,0.0034845,2127.2659 M,4087.3412 M, 25529472.0000 M, 11996992.0000 M
14,0,417,2.886,2.886,2.451,2.451,1.0053,1.0053,68.333,68.333,95.833,95.833,0.0100,0.0035336,2127.2659 M,4087.3412 M, 25529472.0000 M, 11996992.0000 M
14,200,417,2.809,3.647,2.371,3.485,1.2025,1.1391,65.000,69.536,91.667,89.797,0.0100,0.0035266,2101.5758 M,4087.3412 M, 25529472.0000 M, 11988672.0000 M
14,400,417,4.194,3.617,3.769,3.456,1.3740,1.1759,60.000,68.529,84.167,89.401,0.0100,0.0035147,2101.5758 M,4087.3412 M, 25529472.0000 M, 11988672.0000 M
15,0,417,3.605,3.605,3.146,3.146,1.1636,1.1636,71.667,71.667,90.833,90.833,0.0100,0.0035235,2101.5758 M,4087.3412 M, 25529472.0000 M, 11988672.0000 M
15,200,417,4.518,3.566,4.084,3.404,1.2998,1.1737,63.333,68.735,90.833,89.138,0.0100,0.0035344,2075.8857 M,4087.3412 M, 25529472.0000 M, 11955840.0000 M
15,400,417,2.654,3.596,2.225,3.434,1.2274,1.1907,66.667,68.142,90.000,88.934,0.0100,0.0036123,2050.1956 M,4087.3412 M, 25529472.0000 M, 11947616.0000 M
